Driven Brands - MSO,,,,,,,,,,,,,,,
Abra - Parts ordered not recieved by vendor,,,,,,,,,,,,,,,
As of: Today (4/3/2024),,,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: Open",,,,,,,,,,,,,,,
Sorted By: PO Number (ASC),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
      RO Number,      Vehicle,      Vehicle In,      Line,      Part Number,      Part Type,      Part Description,      RO Qty,      Ordered Qty,      Backorder Qty,      Expected Delivery,      PO Number,      Vendor Name,      Required By,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,91,KB7W50640C,OEM,RT Belt molding,1,0,0,,,GALPIN MOTOR - 15678,,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,5,KD3361439,OEM,AC label,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,6,PX4669036,OEM,Emission label 2.5L,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,7,PE0115031,OEM,Fan label gas,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,13,KB8A50170,OEM,License frame,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,14,KL2F50A119U,OEM,Tow eye cap,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,16,KD4550ES1,OEM,LT Grille assy grommet,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,17,KB8E50710J,OEM,Grille assy w/o surround view w/adaptive cruise,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,18,TK7951730,OEM,Emblem w/adaptive cruise,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,19,G46L50EB1,OEM,Emblem clip w/adaptive cruise,2,2,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,20,KB8B50721,OEM,Mount bracket w/adaptive cruise w/o front camera,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,21,TK2150355,OEM,Upper molding rivet,6,6,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,24,KB7W500S0B,OEM,Closure panel,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,25,KB8A50717D,OEM,Closure panel,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
