Vendor Name,Primary Phone,Fax,Address,City,State,Zip,Preferred,Electronic
**IN-HOUSE - 15678,(805) 581-1671,N/A,2150 AGATE CT,SIMI VALLEY,CA,93065,TRUE, 
1-800-Radiator Cal South - 15678,(800) 723-4286,N/A,"32+WHS, DELVR DAILY/OVERNIGHT",SO CAL,CA,91767,FALSE,Electronic
1001 Best Autolite Dist.,(866) 567-3500,N/A,12821 Commerce Lakes Dr Unit 10,Fort Myers,FL,33913,FALSE,Electronic
101 Recovery & Tow - 15678,(805) 236-1645,N/A,1340 Redwood St.,Oxnard,CA,93033,FALSE, 
1ST HONDA - 15678,(805) 584-6646,N/A,2283 FIRST STREET,SIMI VALLEY,CA,93065,TRUE,Electronic
1ST KIA - 15678,(805) 306-1076,N/A,2283 First Honda,Simi Valley,CA,93065,TRUE, 
1ST NISSAN - 15678,(805) 526-5007,N/A,2283 FIRST STREET,SIMI VALLEY,CA,93065,TRUE, 
4 WHEEL PARTS - 15678,(805) 495-3344,N/A,n/a,THOUSAND OAKS,CA,91362,FALSE, 
A&B TOWING - 15678,(818) 232-1438,N/A,8548 RESEDA BLVD,NORTHRIDGE,CA,91324,FALSE, 
A1 AUTO WRECKING - 15678,(559) 268-4623,N/A,3465 S Chestnut Ave,FRESNO,CA,93725,FALSE, 
A1 LOCK AND SAFE - 15678,(805) 526-8396,N/A,1482 LOS ANGELES AVENUE,SIMI VALLEY,CA,93065,FALSE, 
ABLE 2 LABEL - 15678,(713) 402-9900,N/A,11518 SOCORRO LN,TOMBALL,TX,77377,FALSE, 
above all glass - 15678,(805) 578-8900,N/A,n/a,Thousand Oaks,CA,91362,FALSE, 
ACE AUTOWRECKING - 15678,(562) 633-7700,N/A,7315 ROSECRANS AVE,PARAMOUNT,CA,90723,FALSE, 
ACURA OF GLENDALE - 15678,(818) 409-0005,N/A,505 S. BRAND BLVD,GLENDALE,CA,91204,FALSE, 
ADHESIVE TEMPLATES - 15678,(888) 249-3350,N/A,4717 Campus Drive,Kalamazoo,MI,49008,FALSE,Electronic
Advanced Tinting - 15678,(805) 529-0107,N/A,5150 Goldman Ave. Unit H,Moorpark,CA,93021,FALSE, 
Aeromotive - 15678,(224) 535-9220,N/A,345 Willard Ave,Elgin,IL,60120,FALSE, 
airbag express - 15678,(213) 590-3260,N/A,poBox 3404,Glendale,CA,31221,FALSE, 
Airgas - 15678,(805) 520-2725,N/A,1910 Bishop Ln,Simi Valley,CA,93063,FALSE, 
AIRTIGHT AUTO GLASS - 15678,(805) 558-6060,N/A,MOBILE,SIMI VALLEY,CA,93065,TRUE, 
Akzo Nobel - 15678,(800) 656-2332,N/A,535 Marriott Dr Ste 500,Nashville,TN,37214,FALSE, 
ALEXANDER GMC - 15678,(818) 582-6100,N/A,2100 1ST ST,SIMI VALLEY,CA,93065,FALSE, 
Alexander Hyundai of Oxnard - 15678,(000) 000-0000,N/A,1600 Auto Center Dr,Oxnard,CA,93036,TRUE, 
ALL AUTO PARTS - 15678,(909) 356-8686,N/A,15755 ARROW HIGHWAY,FONTANA,CA,92335,FALSE, 
All European Auto Supply - 15678,(248) 399-9211,N/A,1450 JARVIS ST,FERNDALE,MI,48220,FALSE,Electronic
All Star Auto Lights - 15678,(951) 588-6890,N/A,5952 Jasmine ST,Riverside,CA,92504,FALSE, 
ALL STAR AUTO LIGHTS CA - 15678,(951) 588-6890,N/A,5952 JASMINE STREET,RIVERSIDE,CA,92504,FALSE, 
ALLIED AUTO GLASS - 15678,(805) 581-4441,N/A,1842 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
ALPHA AUTOMOTIVE - 15678,(888) 371-3050,N/A,3980 VELP AVENUE,GREEN BAY,WI,54313,FALSE,Electronic
ALTERNATIVE EMBLEMS - 15678,(866) 462-3484,N/A,1812 MT CARMEL CHURCH RD,CHAPEL HILL,NC,27517,FALSE,Electronic
amazon.com - 15678,(888) 280-4331,N/A,PO Box 81126,seattle,WA,98108,FALSE, 
AMERICA'S TIRE - 15678,(805) 579-7921,N/A,2383 FIRST ST,SIMI VALLEY,CA,93065,FALSE, 
AMERICAN DISMANTLING - 15678,(909) 822-3715,N/A,15303 ARROW BLVD,FONTANA,CA,92335,FALSE, 
American Wrap Company - 15678,(661) 878-5587,N/A,"2697 Lavery Court, Ste. #16",Newbury Park,CA,93065,FALSE, 
ANTELOPE VALLEY CHEVROLET - 15678,(661) 952-2300,N/A,1160 MOTOR LANE,LANCASTER,CA,93534,TRUE, 
ANTELOPE VALLEY NISSAN - 15678,(661) 274-4700,N/A,451 AUTO CENTER DRIVE,PALMDALE,CA,93551,FALSE, 
ARKCO SECURITY - 15678,(805) 584-6869,N/A,5924 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
ASTECH - 15678,(888) 486-1166,N/A,2600 TECHNOLOGY DR SUITE 900,PLANO,TX,75074,FALSE, 
ASTRO AUTO PARTS - 15678,(909) 381-4440,N/A,527 E. MILL STREET,SAN BERNARDINO,CA,92408,FALSE, 
ATM Auto Repair - 15678,(805) 341-0134,N/A,885 Calle Ciruelo,Thousand Oaks,CA,91360,FALSE, 
Audi Calabasas - 15678,(818) 574-3211,N/A,1,Calabasas,CA,91302,TRUE, 
Audi Oxnard - 15678,(805) 288-7728,N/A,1600 Ventura Blvd,Oxnard,CA,93036,FALSE, 
AUDIO CONCEPTS - 15678,(805) 526-8558,N/A,1774 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
AUTO ANYTHING - 15678,(800) 874-8888,N/A,WWW.AUTOANYTHING.COM,SAN DIEGO,CA,92134,FALSE, 
Auto Data Labels  - 15678,(631) 667-2382,N/A,P.O Box 741668,ATLANTA,GA,30374,FALSE,Electronic
AUTO PARTS SPECIALIST - 15678,(866) 837-1277,N/A,"100 E. Main Street, Unit A,",Ontario,CA,91761,FALSE, 
"AUTO QUEST DISMANTLIN, INC - 15678",(818) 767-0707,N/A,42234 4TH STREET,LANCASTER,CA,93535,FALSE, 
